SUBURB,BOX-CODE,STR-CODE,AREA,
ALGOA PARK,6005,6001,PORT ELIZABETH,
ALGOAPARK,6005,6001,PORT ELIZABETH,
ALICE,5700,5700,ALICE,
ALICE EXT 8,,5700,ALICE,
ALICE UIT 8,,5700,ALICE,
ALICEDALE,6135,6135,ALICEDALE,
ALICEDALE EST,,7764,ATHLONE,
ALICEDALE LGD,,7764,ATHLONE,
ALIWAL NORTH,9750,9750,ALIWAL NORTH,
ALIWAL-NOORD,9750,9750,ALIWAL NORTH,
ALKANTRANT,0005,0081,PRETORIA,
ALL SAINTS,5052,5052,ENGCOBO,
ALLANDALE,1685,1685,HALFWAY HOUSE,
ALLANDALE,,3201,PIETERMARITZBURG,
ALLANDALE EXT 11,,1682,MIDRAND,
ALLANDALE UIT 11,,1682,MIDRAND,
ALLANDALE EXT 12,,1682,MIDRAND,
ALLANDALE UIT 12,,1682,MIDRAND,
ALLANDALE EXT 16,1685,1685,MIDRAND,
ALLANDALE UIT 16,1685,1685,MIDRAND,
ALLANDALE EXT 17,1685,1685,MIDRAND,
ALLANDALE UIT 17,1685,1685,MIDRAND,
ALLANDALE HEIGHTS,,3201,PIETERMARITZBURG,
ALLANDALE HOOGTE,,3201,PIETERMARITZBURG,
ALLANDALE VIEW,1685,1685,MIDRAND,
ALLANDALESIG,1685,1685,MIDRAND,
ALLANRIDGE,,6241,GAMBLEVILLE,
ALLANRIDGE,9490,9490,ODENDAALSRUS,
ALLANRIDGE EXT 3,9490,9490,ODENDAALSRUS,
ALLANRIDGE UIT 3,9490,9490,ODENDAALSRUS,
ALLANRIDGE WEST,,6229,UITENHAGE,
ALLANRIDGE-WES,,6229,UITENHAGE,
ALLDAYS,0909,0909,LOUIS TRICHARDT,
ALLEN GROVE,,1619,KEMPTON PARK,
ALLEN GROVE EXT 1,,1619,KEMPTON PARK,
ALLEN GROVE UIT 1,,1619,KEMPTON PARK,
ALLEN GROVE EXT 2,,1619,KEMPTON PARK,
ALLEN GROVE UIT 2,,1619,KEMPTON PARK,
ALLEN GROVE EXT 4,,1619,KEMPTON PARK,
ALLEN GROVE UIT 4,,1619,KEMPTON PARK,
ALLEN RISE,,4037,MARBLE RAY,
ALLEN'S NEK,1737,1709,FLORIDA,
ALLEN'S NEK EXT 1,1737,1709,ALLEN'S NEK,
ALLEN'S NEK UIT 1,1737,1709,ALLEN'S NEK,
ALLEN'S NEK EXT 2,1737,1709,ALLEN'S NEK,
ALLEN'S NEK UIT 2,1737,1709,ALLEN'S NEK,
ALLEN'S NEK EXT 23,1737,1709,ALLEN'S NEK,
ALLEN'S NEK UIT 23,1737,1709,ALLEN'S NEK,
ALLEN'S NEK EXT 27,1737,1709,ALLEN'S NEK,
ALLEN'S NEK UIT 27,1737,1709,ALLEN'S NEK,
ALLEN'S NEK EXT 3,1737,1709,ALLEN'S NEK,
ALLEN'S NEK UIT 3,1737,1709,ALLEN'S NEK,
ALLEN'S NEK EXT 36,1737,1709,ALLEN'S NEK,
ALLEN'S NEK UIT 36,1737,1709,ALLEN'S NEK,
ALLEN'S NEK EXT 4,1737,1709,ALLEN'S NEK,
ALLEN'S NEK UIT 4,1737,1709,ALLEN'S NEK,
ALLEN'S NEK EXT 52,1710,1709,ALLEN'S NEK,
ALLEN'S NEK UIT 52,1710,1709,ALLEN'S NEK,
ALLEN'S NEK EXT 9,1737,1709,ALLEN'S NEK,
ALLEN'S NEK UIT 9,1737,1709,ALLEN'S NEK,
ALLENBY EST,,7945,RETREAT,
ALLENBY LGD,,7945,RETREAT,
ALMA,0512,,NYLSTROOM,
ALOE RIDGE,,6670,RIVERSDALE,
ALOERIF,,6670,RIVERSDALE,
ALOE RIDGE,1150,1150,BURGERSFORT,
ALOERIF,1150,1150,BURGERSFORT,
ALOEVALE,,5319,QUEENSTOWN,
ALPHEN EST,,7806,CONSTANTIA,
ALPHEN LGD,,7806,CONSTANTIA,
ALPHEN PARK,,0081,MENLO PARK,
ALPHEN PARK,,1501,BENONI,
ALPHENDALE,,5209,EAST LONDON,
ALPHENPARK,,0081,MENLO PARK,
ALPHINE PARK,,7785,MITCHELLS PLAIN,
ALRA PARK,1495,1491,NIGEL,
ALRAPARK,1495,1491,NIGEL,
ALRAPARK EXT 1,,1491,NIGEL,
ALRAPARK UIT 1,,1491,NIGEL,
ALRAPARK EXT 2,,1491,NIGEL,
ALRAPARK UIT 2,,1491,NIGEL,
ALRIDGE WEST,1150,1150,BURGERSFORT,
ALRIDGE-WES,1150,1150,BURGERSFORT,
ALRODE,1451,1451,ALBERTON,
ALRODE EXT 2,1451,,ALRODE,
ALRODE UIT 2,1451,,ALRODE,
ALRODE SOUTH,1451,1448,ALRODE,
ALRODE SOUTH EXT 3,1421,1448,ALRODE,
ALRODE-SUID UIT 3,1421,1448,ALRODE,
ALTON,3900,,RICHARDS BAY,
ALTON INDUSTRIAL,3900,,RICHARDS BAY,
ALTON INDUSTRIEEL,3900,,RICHARDS BAY,
ALUNSA,1785,,WESTONARIA,
ALVEDA,,2091,JOHANNESBURG,
ALVEDA PARK,,2091,JOHANNESBURG,
ALVEDAPARK,,2091,JOHANNESBURG,
ALVEDA PARK EXT 2,,2091,JOHANNESBURG,
ALVEDAPARK UIT 2,,2091,JOHANNESBURG,
ALVEDA PARK EXT 4,,2091,JOHANNESBURG,
ALVEDAPARK UIT 4,,2091,JOHANNESBURG,
ALVERSTONE,,3610,PINETOWN,
AMABELE,4931,4931,KING WILLIAM'S TOWN,
AMAJUBA,3385,2940,NEWCASTLE,
AMAJUBA PARK,2955,2940,NEWCASTLE,
AMALGAM,,2092,JOHANNESBURG,
AMALIA,2786,2786,SCHWEIZER-RENEKE,
AMALINDA,5252,5247,EAST LONDON,
AMANDAGLEN,,7550,DURBANVILLE,
AMANDASIG,0118,0182,KARENPARK,
AMANDASIG EXT 1,0118,0182,KARENPARK,
AMANDASIG UIT 1,0118,0182,KARENPARK,
AMANDASIG EXT 10,0118,0182,KARENPARK,
AMANDASIG UIT 10,0118,0182,KARENPARK,
AMANDASIG EXT 2,0118,0182,KARENPARK,
AMANDASIG UIT 2,0118,0182,KARENPARK,
AMANDASIG EXT 22,0188,0182,KARENPARK,
AMANDASIG UIT 22,0188,0182,KARENPARK,
AMANDASIG EXT 23,,0182,KARENPARK,
AMANDASIG UIT 23,,0182,KARENPARK,
AMANDASIG EXT 24,,0182,KARENPARK,
AMANDASIG UIT 24,,0182,KARENPARK,
AMANDASIG EXT 25,,0182,KARENPARK,
AMANDASIG UIT 25,,0182,KARENPARK,
AMANDASIG EXT 36,0118,0182,KARENPARK,
AMANDASIG UIT 36,0118,0182,KARENPARK,
AMANDASIG EXT 5,0118,0182,KARENPARK,
AMANDASIG UIT 5,0118,0182,KARENPARK,
AMANDASIG EXT 51,0118,0182,KARENPARK,
AMANDASIG UIT 51,0118,0182,KARENPARK,
AMANDASIG EXT 7,,0182,KARENPARK,
AMANDASIG UIT 7,,0182,KARENPARK,
AMANDASIG EXT 8,0118,0182,KARENPARK,
AMANDASIG UIT 8,0118,0182,KARENPARK,
AMANDAWE,4172,4180,SCOTTBURGH,
AMANDELBULT,0362,0362,CHROMITE,
AMANDELRUG,,7580,KUILS RIVER,
AMANDELSIG,,7580,KUILS RIVER,
AMANYATI,4820,,LUSIKISIKI,
AMANZIMNYAMA,3855,,NKANDLA,
AMANZIMTOTI,4125,4126,DURBAN,
AMANZIMYAMA,,4399,TONGAAT,
AMAOTI,4080,4309,PHOENIX,
AMATHOLE BASIN,5711,,ALICE,
AMATHOLE VALLEY,5616,5616,ALICE,
AMATHOLE VALLEI,5616,5616,ALICE,
AMATIKULU,3801,3801,GINGINDLOVU,
AMATIKWE,4310,4309,INANDA,
AMATOLA VIEW,,5605,AMATOLA VIEW,
AMATOLAVILLE,,4930,AMATOLEVILLE,
AMATOLEVILLE,,4930,AMATOLEVILLE,
AMATOLE BASIN,,5605,BHISHO,
AMAWOTANA,4344,,VERULAM,
AMBERFIELD GLEN,,0149,CENTURION,
AMBERFIELD MANOR ESTATE,0158,0157,CENTURION,
AMBERFIELD MANOR LANDGOED,0158,0157,CENTURION,
AMBERFIELD RIDGE,0046,0157,CENTURION,
AMBERFIELDRIF,0046,0157,CENTURION,
AMBERFIELD VALLEY,,0157,CENTURION,
AMBERFIELDVALLEI,,0157,CENTURION,
AMBERGATE,0780,,POLOKWANE,
AMBERVILLE,,0157,CENTURION,
